Spalte1;Column1;Column12;Column2;Column3;Column4;Column5;lat;lng;Web-URL;WZ;Umsatz normiert;Finanzierungsgeschäft;Provision;Zahlungsverkehr;Ertragspotenzial;Ansprechpartner;E-Mail;Bonität;Straße
13;47192;47000;GALERIA KAUFHOF GMBH KÖLN;50676;Köln;2.694.376 T€ (2015);50,94260788;6,96796608;https://www.galeria-kaufhof.de;Einzelhandel; 2.694.376.000   ; 34.488   ; 11.316   ; 5.928   ; 51.732   ;Emma Richter;Emma.Richter@galeria-kaufhof.de;3A;
14;70101;70000;INEOS Deutschland GmbH;50769;Köln;2.524.913 T€ (2007);51,04626083;6,850763798;http://www.ineoskoeln.de;Dienstleistung; 2.524.913.000   ; 30.299   ; 9.292   ; 9.392   ; 48.983   ;Fynn Klein;Fynn.Klein@ineoskoeln.de;2D;BaptistStraße 44
15;35112;35000;RHEINENERGIE AG KÖLN;50823;Köln;2.457.049 T€ (2016);50,94260788;6,96796608;https://www.rheinenergie.com;Dienstleistung; 2.457.049.000   ; 26.536   ; 7.371   ; 11.794   ; 45.701   ;Carolin Wolf;Carolin.Wolf@rheinenergie.com;2C;
16;46610;46000;RAIFFEISEN WARENZENTRALE RHEIN MAIN KÖLN;50668;Köln;2.386.860 T€ (2015);50,94260788;6,96796608;;Großhandel; 2.386.860.000   ; 21.959   ; 12.125   ; 9.357   ; 43.441   ;Oliver Schröder;;2D;
17;46734;46000;TOOM BAUMARKT GMBH KOELN;51149;Köln;2.260.908 T€ (2016);50,94045;7,00637;https://toom.de;Großhandel; 2.260.908.000   ; 16.731   ; 8.591   ; 19.896   ; 45.218   ;Svenja Neumann;Svenja.Neumann@toom.de;2D;Markt 24
18;19200;19000;INEOS Manufacturing Deutschland GmbH;50769;Köln;2.233.128 T€ (2006);51,04626083;6,850763798;http://www.ineoskoeln.de;Industrie/ Handwerk; 2.233.128.000   ; 22.331   ; 8.218   ; 12.774   ; 43.323   ;Gunnar Schwarz;Gunnar.Schwarz@ineoskoeln.de;1B;BaptistStraße 44
19;41201;41000;STRABAG AG KÖLN;50679;Köln;2.199.491 T€ (2016);50,94260788;6,96796608;http://www.strabag.de;Bau- und Ausbaugewerbe; 2.199.491.000   ; 20.675   ; 11.173   ; 11.262   ; 43.110   ;Ben Zimmermann;Ben.Zimmermann@strabag.de;2A;
20;64200;64000;Unitymedia GmbH;50933;Köln;2.172.300 T€ (2015);50,94226074;6,880349159;https://www.unitymedia.de;Dienstleistung; 2.172.300.000   ; 18.247   ; 7.212   ; 15.380   ; 40.839   ;Josef Braun;Josef.Braun@unitymedia.de;3E;WendelinStraße 90
21;35140;35000;RHEINENERGIE TRADING GMBH KÖLN;50823;Köln;2.079.543 T€ (2015);50,94260788;6,96796608;https://www.rheinenergie.com;Dienstleistung; 2.079.543.000   ; 25.578   ; 8.817   ; 3.869   ; 38.264   ;Dana Krüger;Dana.Krueger@rheinenergie.com;2D;
22;70101;70000;TÜV RHEINLAND AG KÖLN;51105;Köln;1.917.886 T€ (2016);50,94260788;6,96796608;https://www.tuv.com;Dienstleistung; 1.917.886.000   ; 15.535   ; 5.677   ; 15.611   ; 36.823   ;Lukas Hofmann;Lukas.Hofmann@tuv.com;2C;
23;20500;20000;BP Chemie GmbH;50769;Köln;1.886.320 T€ (2000);51,04626083;6,850763798;;Industrie/ Handwerk; 1.886.320.000   ; 23.013   ; 8.677   ; 4.150   ; 35.840   ;Ilka Hartmann;;3A;BaptistStraße 44
24;71121;71000;STRABAG AG KOELN;50679;Köln;1.826.458 T€ (2015);50,94260788;6,96796608;http://www.strabag.de;Dienstleistung; 1.826.458.000   ; 19.178   ; 5.479   ; 9.680   ; 34.337   ;Xanthippe Lange;Xanthippe.Lange@strabag.de;1E;
25;60000;60000;RTL Television GmbH;50679;Köln;1.708.498 T€ (2016);50,93482208;6,981100082;https://www.mediengruppe-rtl.de;Dienstleistung; 1.708.498.000   ; 18.964   ; 5.194   ; 10.012   ; 34.170   ;Thomas Schmitt;Thomas.Schmitt@mediengruppe-rtl.de;2D;WalthariStraße 14
26;38210;38000;Der Grüne Punkt - Duales System Deutschland Aktiengesellschaft;51145;Köln;1.696.511 T€ (2003);50,88391876;7,077330112;https://www.gruener-punkt.de;Industrie/ Handwerk; 1.696.511.000   ; 22.055   ; 5.632   ; 4.886   ; 32.573   ;Mia Werner;Mia.Werner@gruener-punkt.de;2D;Pfaffenpfad 13
27;42110;42000;STRABAG AG;50679;Köln;1.657.968 T€ (2002);50,93482208;6,981100082;http://www.strabag.com;Bau- und Ausbaugewerbe; 1.657.968.000   ; 15.585   ; 8.356   ; 9.218   ; 33.159   ;Jan Schmitz;Jan.Schmitz@strabag.com;3E;WalthariStraße 14
28;45110;45000;Volvo Car Germany GmbH;50679;Köln;1.634.827 T€ (2016);50,93482208;6,981100082;https://www.volvocars.com;Großhandel; 1.634.827.000   ; 14.060   ; 4.774   ; 12.228   ; 31.062   ;Leonie Krause;Leonie.Krause@volvocars.com;1A;WalthariStraße 14
29;47192;47000;REWE Großflächen- gesellschaft mbH;50668;Köln;1.496.123 T€ (2004);50,94987869;6,96416378;https://www.rewe-group.com;Einzelhandel; 1.496.123.000   ; 16.906   ; 5.566   ; 5.954   ; 28.426   ;Finja Meier;Finja.Meier@rewe-group.com;1D;Theodor-Heuss-Ring 50
30;47191;47000;REWE ZENTRAL AKTIENGESELLSCHAFT KÖLN;50668;Köln;1.364.900 T€ (2016);50,94260788;6,96796608;https://www.rewe-group.com;Einzelhandel; 1.364.900.000   ; 14.195   ; 4.313   ; 8.244   ; 26.752   ;Paul Lehmann;Paul.Lehmann@rewe-group.com;2A;
31;79120;79000;DER Touristik Deutschland GmbH;51149;Köln;1.323.518 T€ (2004);50,90459442;7,047994137;http://www.dertouristik.com;Dienstleistung; 1.323.518.000   ; 13.235   ; 5.453   ; 5.400   ; 24.088   ;Finn Schmid;Finn.Schmid@dertouristik.com;3B;Schwarzer Weg
32;82999;82000;AXA Service AG;51067;Köln;1.314.350 T€ (2008);50,96445847;7,040765762;https://www.axa.de;Dienstleistung; 1.314.350.000   ; 11.041   ; 6.151   ; 6.992   ; 24.184   ;Ida Schulze;Ida.Schulze@axa.de;1C;BurgwiesenStraße 60
33;19200;19000;INEOS Köln GmbH;50769;Köln;1.303.504 T€ (2016);51,04626083;6,850763798;;Industrie/ Handwerk; 1.303.504.000   ; 9.385   ; 4.797   ; 10.063   ; 24.245   ;Kimi Maier;;1B;BaptistStraße 44
34;70101;70000;DEUTZ AG KÖLN;51149;Köln;1.260.200 T€ (2016);50,94260788;6,96796608;https://www.deutz.com;Dienstleistung; 1.260.200.000   ; 13.358   ; 5.545   ; 4.537   ; 23.440   ;Alexander Köhler;Alexander.Koehler@deutz.com;1B;
35;;;GETRAG FORD Transmissions GmbH;50735;Köln;1.244.457 T€ (2015);50,99375534;6,95991993;;; 1.244.457.000   ; 13.689   ; 6.421   ; 3.784   ; 23.894   ;Fiete Herrmann;;1E;Auf der Seekante 12
36;45100;45000;PEUGEOT DEUTSCHLAND GMBH SAARBRÜCKEN;51149;Köln;1.179.409 T€ (2015);50,90459442;7,047994137;https://haendler.peugeot.de;Großhandel; 1.179.409.000   ; 10.969   ; 4.387   ; 7.760   ; 23.116   ;Arvid König;Arvid.Koenig@haendler.peugeot.de;2C;Schwarzer Weg
37;;;Unitymedia GmbH;50933;Köln;1.161.925 T€ (2008);50,94226074;6,880349159;https://www.unitymedia.de;; 1.161.925.000   ; 12.200   ; 3.904   ; 6.902   ; 23.006   ;Luca Walter;Luca.Walter@unitymedia.de;2A;WendelinStraße 90
38;45110;45000;Toyota Deutschland GmbH;50858;Köln;1.137.858 T€ (2016);50,91482;6,85671;https://www.toyota.de;Großhandel; 1.137.858.000   ; 8.648   ; 3.778   ; 10.331   ; 22.757   ;Nils Mayer;Nils.Mayer@toyota.de;2D;Toyota-Allee 42A
39;70109;70000;Ströer SE & Co. KGaA;50999;Köln;1.123.257 T€ (2016);50,86056;6,99846;https://www.stroeer.com;Dienstleistung; 1.123.257.000   ; 9.772   ; 5.122   ; 5.549   ; 20.443   ;Julia Huber;Julia.Huber@stroeer.com;2E;Ströer-Allee
40;46350;46000;JT International Germany GmbH;50670;Köln;1.029.992 T€ (2005);50,95000458;6,944939137;;Großhandel; 1.029.992.000   ; 12.772   ; 4.079   ; 2.925   ; 19.776   ;Lara Kaiser;;3E;Im MediaPark 6C
41;46179;46000;Juan Garcia-Lax Gesellschaft mit beschränkter Haftung;50969;Köln;1.025.587 T€ (2014);50,90608597;6,937514782;https://garcia-lax.de;Großhandel; 1.025.587.000   ; 8.820   ; 2.954   ; 7.507   ; 19.281   ;Noah Fuchs;Noah.Fuchs@garcia-lax.de;3C;Zollstockgürtel 47
42;10810;10000;PFEIFER LANGEN GMBH CO. KG KÖLN;50858;Köln;1.009.900 T€ (2015);50,94260788;6,96796608;http://www.pfeifer-langen.com;Industrie/ Handwerk; 1.009.900.000   ; 12.927   ; 5.090   ; 767   ; 18.784   ;Hauke Peters;Hauke.Peters@pfeifer-langen.com;3D;
43;47112;47000;FÜR SIE Handelsgenossenschaft eG Food - Non Food;50668;Köln;927.549 T€ (2015);50,94987869;6,96416378;https://www.cio.de;Einzelhandel; 927.549.000   ; 8.255   ; 3.079   ; 7.217   ; 18.551   ;Maria Lang;Maria.Lang@cio.de;2A;Theodor-Heuss-Ring 50
44;70109;70000;Akzo Nobel GmbH;50829;Köln;924.600 T€ (2015);50,97174835;6,860268116;https://www.akzonobel.com;Dienstleistung; 924.600.000   ; 9.246   ; 2.996   ; 5.695   ; 17.937   ;Michaela Scholz;Michaela.Scholz@akzonobel.com;3B;Freimersdorfer Weg 6
45;46340;46000;FÜR SIE Lebensmittelhandel-Verwaltungsgesellschaft mbH;50668;Köln;861.656 T€ (2015);50,94987869;6,96416378;https://www.fuer-sie-eg.de;Großhandel; 861.656.000   ; 7.152   ; 4.101   ; 4.774   ; 16.027   ;Sven Möller;Sven.Moeller@fuer-sie-eg.de;2E;Theodor-Heuss-Ring 50
46;70109;70000;Intersnack Knabber-Gebäck Unternehmensverwaltungs-GmbH & Co. Kommanditgesellschaft;50858;Köln;834.343 T€ (2009);50,92154694;6,857530117;https://www.intersnack.de;Dienstleistung; 834.343.000   ; 8.260   ; 4.038   ; 3.555   ; 15.853   ;Jördis Weiß;Joerdis.Weiss@intersnack.de;3E;
47;38320;38000;Der Grüne Punkt - Duales System Deutschland GmbH;51145;Köln;821.703 T€ (2008);50,88391876;7,077330112;https://www.gruener-punkt.de;Industrie/ Handwerk; 821.703.000   ; 7.149   ; 4.043   ; 4.585   ; 15.777   ;Nele Jung;Nele.Jung@gruener-punkt.de;3A;Pfaffenpfad 13
48;70109;70000;Unitymedia BW GmbH;50933;Köln;775.677 T€ (2015);50,94226074;6,880349159;https://www.unitymedia.de;Dienstleistung; 775.677.000   ; 6.593   ; 2.761   ; 6.004   ; 15.358   ;Hedda Hahn;Hedda.Hahn@unitymedia.de;1D;WendelinStraße 90
49;;;TOYOTA Leasing GmbH;50858;Köln;749.208 T€ (2008);50,91482;6,85671;https://www.toyota.de;; 749.208.000   ; 6.144   ; 3.117   ; 4.674   ; 13.935   ;Torsten Schubert;Torsten.Schubert@toyota.de;3C;Toyota-Allee 42A
50;;;Rheinbraun Brennstoff GmbH;50935;Köln;706.921 T€ (2011);50,92298889;6,892910004;https://www.rheinbraun-brennstoff.de;; 706.921.000   ; 9.049   ; 3.110   ; 1.414   ; 13.573   ;Gesine Vogel;Gesine.Vogel@rheinbraun-brennstoff.de;2E;WerthmannStraße 5
51;46721;46000;Usinor Stahl GmbH;50672;Köln;701.710 T€ (2002);50,94238663;6,934085846;;Großhandel; 701.710.000   ; 8.070   ; 2.779   ; 3.185   ; 14.034   ;Kjell Friedrich;;3E;Venloer Straße 41
52;82999;82000;DSD - Duales System Holding GmbH & Co. KG;51145;Köln;647.953 T€ (2014);50,88391876;7,077330112;https://www.gruener-punkt.de;Dienstleistung; 647.953.000   ; 8.164   ; 3.162   ; 1.503   ; 12.829   ;Linda Keller;Linda.Keller@gruener-punkt.de;3E;Pfaffenpfad 13
53;35130;35000;Yello Strom GmbH;50679;Köln;640.953 T€ (2016);50,93482208;6,981100082;;Dienstleistung; 640.953.000   ; 7.435   ; 3.128   ; 1.487   ; 12.050   ;Ruth Günther;;2A;WalthariStraße 14
54;60200;60000;VOX Television GmbH;50679;Köln;633.872 T€ (2016);50,93482208;6,981100082;https://www.vox.de;Dienstleistung; 633.872.000   ; 4.944   ; 2.764   ; 4.082   ; 11.790   ;Eva Frank;Eva.Frank@vox.de;2D;WalthariStraße 14
55;96090;96000;UNITYMEDIA NRW GMBH KÖLN;50933;Köln;631.166 T€ (2009);50,94260788;6,96796608;https://www.unitymedia.de;Dienstleistung; 631.166.000   ; 5.617   ; 2.348   ; 3.396   ; 11.361   ;Christina Berger;Christina.Berger@unitymedia.de;1C;
56;88990;88000;Malteser Deutschland gemeinnützige GmbH;51103;Köln;627.485 T€ (2016);50,94011688;7,012451172;;Dienstleistung; 627.485.000   ; 7.718   ; 2.108   ; 2.347   ; 12.173   ;Lennja Winkler;;3A;DieselStraße 2A
57;46721;46000;ArcelorMittal Distribution GmbH;50672;Köln;621.532 T€ (2011);50,94238663;6,934085846;https://germany.arcelormittal.com;Großhandel; 621.532.000   ; 5.905   ; 2.113   ; 4.164   ; 12.182   ;Rory Roth;Rory.Roth@germany.arcelormittal.com;1E;Venloer Straße 41
58;46721;46000;ArcelorMittal Distribution GmbH;50672;Köln;621.532 T€ (2011);50,94238663;6,934085846;https://germany.arcelormittal.com;Großhandel; 621.532.000   ; 7.272   ; 3.108   ; 1.429   ; 11.809   ;Elias Beck;Elias.Beck@germany.arcelormittal.com;1B;Venloer Straße 41
59;82999;82000;Der Grüne Punkt - Duales System Deutschland GmbH;51145;Köln;621.142 T€ (2013);50,88391876;7,077330112;https://www.gruener-punkt.de;Dienstleistung; 621.142.000   ; 5.777   ; 2.957   ; 3.192   ; 11.926   ;Andrea Lorenz;Andrea.Lorenz@gruener-punkt.de;2D;Pfaffenpfad 13
60;35220;35000;Rheinische NETZGesellschaft mbH;50823;Köln;615.373 T€ (2015);50,9512291;6,926065922;http://www.rng.de;Dienstleistung; 615.373.000   ; 7.631   ; 1.748   ; 2.559   ; 11.938   ;Svea Baumann;Svea.Baumann@rng.de;1C;Subbelrather Straße 151
61;70109;70000;Franz Beteiligungsgesellschaft mbH;50823;Köln;600.876 T€ (2015);50,9512291;6,926065922;https://www.northdata.de;Dienstleistung; 600.876.000   ; 5.949   ; 2.788   ; 2.680   ; 11.417   ;Sören Franke;Soeren.Franke@northdata.de;2A;Subbelrather Straße 151
62;70109;70000;ALBA SE;51149;Köln;596.994 T€ (2016);50,90459442;7,047994137;https://www.alba.info;Dienstleistung; 596.994.000   ; 5.851   ; 2.866   ; 2.506   ; 11.223   ;Lasse Albrecht;Lasse.Albrecht@alba.info;2B;Schwarzer Weg
63;71129;71000;ZEG Zweirad-Einkaufsgenossenschaft eingetragene Genossenschaft;50739;Köln;592.143 T€ (2015);50,97428131;6,923274994;http://www.zeg.de;Dienstleistung; 592.143.000   ; 5.921   ; 2.795   ; 2.416   ; 11.132   ;Emma Schuster;Emma.Schuster@zeg.de;2D;Robert-Perthel-Straße
64;64200;64000;DuMont Mediengruppe GmbH & Co.KG;50735;Köln;591.625 T€ (2016);50,99375534;6,95991993;;Dienstleistung; 591.625.000   ; 5.502   ; 2.603   ; 2.899   ; 11.004   ;Fynn Simon;;3A;Auf der Seekante 12
65;46310;46000;Rosenbaum Verwaltungs GmbH;50997;Köln;591.285 T€ (2015);50,86512375;6,959179878;https://branchenbuch.meinestadt.de;Großhandel; 591.285.000   ; 7.687   ; 2.744   ; 685   ; 11.116   ;Carolin Ludwig;Carolin.Ludwig@branchenbuch.meinestadt.de;3A;Am KirchWeg 13
66;22290;22000;igus gmbh;51147;Köln;552.437 T€ (2015);50,87181473;7,126286983;https://www.igus.de;Industrie/ Handwerk; 552.437.000   ; 4.585   ; 2.630   ; 3.613   ; 10.828   ;Oliver Böhm;Oliver.Boehm@igus.de;3E;Heinrich-Steinmann-Straße
67;58130;58000;Mediengruppe M. DuMont Schauberg GmbH & Co. KG;50735;Köln;546.235 T€ (2015);;;;Dienstleistung; 546.235.000   ; 6.118   ; 1.901   ; 2.906   ; 10.925   ;Svenja Winter;;1D;
68;45100;45000;PSA Retail GmbH;51149;Köln;530.582 T€ (2014);50,90459442;7,047994137;https://www.psa-retail.de;Großhandel; 530.582.000   ; 3.926   ; 2.568   ; 3.481   ; 9.975   ;Gunnar Kraus;Gunnar.Kraus@psa-retail.de;2D;Schwarzer Weg
69;45100;45000;Renault Retail Group Deutschland GmbH;50939;Köln;522.471 T€ (2016);50,90568924;6,924170017;https://renault-retail.de;Großhandel; 522.471.000   ; 4.023   ; 2.236   ; 4.086   ; 10.345   ;Ben Martin;Ben.Martin@renault-retail.de;3A;DrachenfelsStraße 50
70;71122;71000;SUEZ Recycling & Recovery Deutschland GmbH;50999;Köln;522.055 T€ (2016);50,87046051;7,015705109;https://www.suez-deutschland.de;Dienstleistung; 522.055.000   ; 5.690   ; 1.838   ; 2.913   ; 10.441   ;Josef Schumacher;Josef.Schumacher@suez-deutschland.de;3C;SchlehenWeg 15
71;47290;47000;Sara Lee Coffee & Tea Germany GmbH;51149;Köln;504.720 T€ (2005);50,90459442;7,047994137;;Einzelhandel; 504.720.000   ; 3.987   ; 1.777   ; 3.927   ; 9.691   ;Dana Krämer;;2A;Schwarzer Weg
72;10130;10000;WILHELM BRANDENBURG GMBH + CO OHG KÖLN;50668;Köln;484.519 T€ (2008);50,94260788;6,96796608;http://www.wilhelmbrandenburg.de;Industrie/ Handwerk; 484.519.000   ; 4.700   ; 2.384   ; 1.928   ; 9.012   ;Lukas Vogt;Lukas.Vogt@wilhelmbrandenburg.de;2B;
73;;;POLIFILM GMBH KÖLN;50676;Köln;478.059 T€ (2014);;;http://www.polifilm.de;; 478.059.000   ; 4.542   ; 1.587   ; 2.667   ; 8.796   ;Ilka Stein;Ilka.Stein@polifilm.de;1D;
74;43220;43000;ENGIE Deutschland GmbH;50858;Köln;468.250 T€ (2015);50,92154694;6,857530117;https://www.engie-deutschland.de;Bau- und Ausbaugewerbe; 468.250.000   ; 3.371   ; 1.480   ; 3.952   ; 8.803   ;Xanthippe Jäger;Xanthippe.Jaeger@engie-deutschland.de;2C;
75;70220;70000;Volvo Car Holding Germany GmbH;50933;Köln;455.500 T€ (2008);50,94226074;6,880349159;https://www.volvocars.com;Dienstleistung; 455.500.000   ; 4.145   ; 1.731   ; 3.234   ; 9.110   ;Thomas Otto;Thomas.Otto@volvocars.com;1D;WendelinStraße 90
76;62020;62000;cleverbridge AG;50670;Köln;446.482 T€ (2015);50,95000458;6,944939137;https://www.cleverbridge.com;Dienstleistung; 446.482.000   ; 4.867   ; 1.947   ; 1.848   ; 8.662   ;Mia Sommer;Mia.Sommer@cleverbridge.com;3C;Im MediaPark 6C
77;46750;46000;Omya Gesellschaft mit beschränkter Haftung;50679;Köln;438.575 T€ (2015);50,93482208;6,981100082;https://www.omya.com;Großhandel; 438.575.000   ; 5.044   ; 1.579   ; 1.973   ; 8.596   ;Jan Groß;Jan.Gross@omya.com;1B;WalthariStraße 14
78;;;Universitätsklinikum Köln;50937;Köln;429.663 T€ (2013);50,94260788;6,96796608;https://www.uk-koeln.de;; 429.663.000   ; 3.824   ; 1.839   ; 2.243   ; 7.906   ;Leonie Seidel;Leonie.Seidel@uk-koeln.de;2E;
79;;;Komet Electronic GmbH;51149;Köln;419.209 T€ (2007);50,90459442;7,047994137;https://www.kometgroup.com;; 419.209.000   ; 3.647   ; 2.046   ; 1.937   ; 7.630   ;Finja Heinrich;Finja.Heinrich@kometgroup.com;1E;Schwarzer Weg
80;70101;70000;ArcelorMittal Distribution GmbH;50670;Köln;417.794 T€ (2015);50,95000458;6,944939137;https://germany.arcelormittal.com;Dienstleistung; 417.794.000   ; 3.259   ; 1.454   ; 3.392   ; 8.105   ;Paul Brandt;Paul.Brandt@germany.arcelormittal.com;2E;Im MediaPark 6C
81;27320;27000;NKT GmbH & Co. KG;51061;Köln;416.684 T€ (2015);50,99834061;6,991382122;https://www.nkt.de;Industrie/ Handwerk; 416.684.000   ; 4.209   ; 1.600   ; 2.025   ; 7.834   ;Finn Haas;Finn.Haas@nkt.de;2C;SemmelweisStraße 111
82;20160;20000;INEOS Styrolution Köln GmbH;50769;Köln;416.132 T€ (2010);51,04626083;6,850763798;https://www.ineos-styrolution.com;Industrie/ Handwerk; 416.132.000   ; 3.496   ; 1.964   ; 2.779   ; 8.239   ;Ida Schreiber;Ida.Schreiber@ineos-styrolution.com;1E;BaptistStraße 44
83;43991;43000;Xervon GmbH;50735;Köln;409.784 T€ (2009);50,99375534;6,95991993;;Bau- und Ausbaugewerbe; 409.784.000   ; 3.688   ; 1.869   ; 2.311   ; 7.868   ;Kimi Graf;;3B;Auf der Seekante 12
84;46310;46000;R o s e n b a u m Fruchtimport und Logistik GmbH;50997;Köln;404.368 T€ (2016);50,86512375;6,959179878;https://www.rosenbaumgruppe.eu;Großhandel; 404.368.000   ; 3.801   ; 1.957   ; 1.925   ; 7.683   ;Alexander Schulte;Alexander.Schulte@rosenbaumgruppe.eu;2A;Am KirchWeg 13
85;96090;96000;QSC AG KÖLN;50829;Köln;385.979 T€ (2016);50,94260788;6,96796608;https://www.qsc.de;Dienstleistung; 385.979.000   ; 4.979   ; 1.096   ; 950   ; 7.025   ;Fiete Dietrich;Fiete.Dietrich@qsc.de;3C;
86;86100;86000;Hospitalvereinigung St. Marien GmbH;50737;Köln;377.471 T€ (2016);50,98659515;6,937414169;https://www.cellitinnenhaeuser.de;Dienstleistung; 377.471.000   ; 4.228   ; 1.827   ; 1.419   ; 7.474   ;Arvid Ziegler;Arvid.Ziegler@cellitinnenhaeuser.de;3E;Stettiner Straße 10
87;74900;74000;EMONS HOLDING GMBH & CO KG KÖLN;51105;Köln;376.876 T€ (2015);50,94260788;6,96796608;https://www.emons.de;Dienstleistung; 376.876.000   ; 4.824   ; 1.447   ; 814   ; 7.085   ;Luca Kuhn;Luca.Kuhn@emons.de;2B;
88;20590;20000;Deutsche Infineum GmbH & Co. KG;50735;Köln;370.837 T€ (2015);50,99375534;6,95991993;https://www.chemcologne.de;Industrie/ Handwerk; 370.837.000   ; 3.523   ; 1.661   ; 1.936   ; 7.120   ;Nils Kühn;Nils.Kuehn@chemcologne.de;1B;Auf der Seekante 12
89;86100;86000;Kliniken der Stadt Köln gGmbH;51067;Köln;365.815 T€ (2016);50,96445847;7,040765762;https://www.kliniken-koeln.de;Dienstleistung; 365.815.000   ; 2.670   ; 1.463   ; 2.671   ; 6.804   ;Julia Pohl;Julia.Pohl@kliniken-koeln.de;2D;BurgwiesenStraße 60
90;35140;35000;E WIE EINFACH GmbH;50677;Köln;360.492 T€ (2016);50,92203522;6,949436188;https://www.e-wie-einfach.de;Dienstleistung; 360.492.000   ; 3.749   ; 1.211   ; 1.529   ; 6.489   ;Lara Engel;Lara.Engel@e-wie-einfach.de;1C;KleingedankStraße 11
91;46493;46000;beeline GmbH;51063;Köln;354.775 T€ (2016);50,9667511;7,014326096;https://www.beeline-group.com;Großhandel; 354.775.000   ; 3.335   ; 1.050   ; 2.214   ; 6.599   ;Noah Horn;Noah.Horn@beeline-group.com;3E;SchanzenStraße 14
92;15120;15000;RIMOWA GmbH;50829;Köln;350.424 T€ (2015);50,97174835;6,860268116;;Industrie/ Handwerk; 350.424.000   ; 3.084   ; 1.107   ; 2.257   ; 6.448   ;Hauke Busch;;3E;Freimersdorfer Weg 6
